start_formatted,text,pinyin,english
00:09:34:365,在Interview的時候也是有給我一個很高的expectation,zài Interview de shí hòu yě shì yǒu gěi wǒ yī gè hěn gāo de expectation,"During the interview, I was given a very high expectation."
00:09:37:533,我以為我的那個權利,wǒ yǐ wèi wǒ de nà gè quán lì,I thought I had that right
00:09:39:299,可能會比較稍微的,kě néng huì bǐ jiào shāo wēi de,Maybe a little bit
00:09:42:000,可以得到比較多資源,kě yǐ dé dào bǐ jiào duō zī yuán,More resources are available
00:09:44:100,但可能因為他們覺得時間太短的關係,dàn kě néng yīn wèi tā men jué dé shí jiān tài duǎn de guān xì,But maybe it's because they think the time is too short
00:09:46:899,就暫時沒有辦法給到我那個決定權啦,jiù zàn shí méi yǒu bàn fǎ gěi dào wǒ nà gè jué dìng quán la,There is currently no way to give me the right to make that decision.
00:09:50:133,再加上這種種種種的原因哦,zài jiā shàng zhè zhǒng zhǒng zhǒng zhǒng de yuán yīn ó,Plus all these reasons
00:09:52:799,我就覺得好像,wǒ jiù jué dé hǎo xiàng,I just feel like
00:09:54:666,不太可以耶,bù tài kě yǐ yé,Not really possible
00:09:55:899,我還是習慣了自由耶,wǒ hái shì xí guàn le zì yóu yé,I'm still used to freedom
00:09:58:232,這樣子的一個感覺啦,zhè yàng zi de yī gè gǎn jué la,Such a feeling
00:09:59:432,總的來講哦,zǒng de lái jiǎng ó,Generally speaking
00:10:00:332,其實你在你的Mid Career啦,qí shí nǐ zài nǐ de Mid Career la,"In fact, you are in your Mid Career"
00:10:02:200,你會遇到的東西就是,nǐ huì yù dào de dōng xī jiù shì,What you will encounter is
00:10:03:832,像我這樣子30多歲的,xiàng wǒ zhè yàng zi 30 duō suì de,Someone in my 30s like me
00:10:05:232,其實你要跟外面的fresh graduate去搶工作的話啦,qí shí nǐ yào gēn wài miàn de fresh graduate qù qiǎng gōng zuò de huà la,"In fact, if you want to compete for a job with a fresh graduate from outside,"
00:10:09:600,講真的他們又願意拿比較低的薪水,jiǎng zhēn de tā men yòu yuàn yì ná bǐ jiào dī de xīn shuǐ,"To be honest, they are willing to take a relatively low salary"
00:10:12:265,他們的knowledge又很fresh,tā men de knowledge yòu hěn fresh,Their knowledge is very fresh
00:10:13:832,像一張白紙這樣子,xiàng yī zhāng bái zhǐ zhè yàng zi,Like a piece of white paper
00:10:15:000,其實是蠻多公司比較願意接受他們,qí shí shì mán duō gōng sī bǐ jiào yuàn yì jiē shòu tā men,"In fact, many companies are more willing to accept them."
00:10:17:899,Compare with像我們這種比較有資歷的,Compare with xiàng wǒ men zhè zhǒng bǐ jiào yǒu zī lì de,Compare with those who are more qualified like us
00:10:20:666,然後又要求那個薪水,rán hòu yòu yāo qiú nà gè xīn shuǐ,And then asked for that salary
00:10:22:399,有一定的程度的話,yǒu yí dìng de chéng dù de huà,To a certain extent
00:10:25:100,會有一點挑戰,huì yǒu yī diǎn tiāo zhàn,There will be a little challenge
00:10:26:066,是真的,shì zhēn de,is true
00:10:26:765,這是我遇到的,zhè shì wǒ yù dào de,This is what I encountered
00:10:28:066,而就因為公司的文化,ér jiù yīn wèi gōng sī de wén huà,And just because of the company’s culture
00:10:30:600,自己也不太能夠接受,zì jǐ yě bù tài néng gòu jiē shòu,I can't accept it either
00:10:31:932,因為我覺得啦,yīn wèi wǒ jué dé la,Because I think
00:10:33:000,在這間公司奴性要比較高一點點,zài zhè jiān gōng sī nú xìng yào bǐ jiào gāo yī diǎn diǎn,The servility in this company is a little higher
00:10:36:799,我會比較直接的講,wǒ huì bǐ jiào zhí jiē de jiǎng,I will speak more directly
00:10:38:633,因為其實我也問了一些同事,yīn wèi qí shí wǒ yě wèn le yī xiē tóng shì,Because actually I also asked some colleagues
00:10:40:533,他們會講,tā men huì jiǎng,they can speak
00:10:41:299,噢,ō,oh
00:10:41:700,他很兇啊還是怎麼樣啊,tā hěn xiōng a hái shì zěn me yàng a,Is he very fierce or something?
00:10:43:299,但是當他在給你工作的時候啊,dàn shì dāng tā zài gěi nǐ gōng zuò de shí hòu a,But when he is working for you
00:10:45:265,會給到你很大的壓力的哦,huì gěi dào nǐ hěn dà de yā lì de ó,
00:10:47:265,他們讓我感覺的就是,tā men ràng wǒ gǎn jué de jiù shì,That's what they make me feel
00:10:49:000,你去接受這份壓力哦,nǐ qù jiē shòu zhè fèn yā lì ó,Just accept this pressure
00:10:51:066,是一個很榮譽的事情,shì yī gè hěn róng yù de shì qíng,It's a very honorable thing
00:10:53:232,就是你的榮幸,jiù shì nǐ de róng xìng,It's your honor
00:10:54:566,你明白我的意思嗎,nǐ míng bái wǒ de yì si ma,do you understand what i mean
00:10:55:666,這個對我來講算是一個,zhè gè duì wǒ lái jiǎng suàn shì yī gè,"For me, this is a"
00:10:58:765,"OK
不懂的話你們自己去谷歌查找一下","OK
 bù dǒng de huà nǐ men zì jǐ qù gǔ gē chá zhǎo yī xià","OK
If you don’t understand, go look it up on Google yourself."
00:11:01:765,I mean可能在以前啦,I mean kě néng zài yǐ qián la,I mean maybe it was in the past
00:11:03:033,公司,gōng sī,company
00:11:03:865,老闆,lǎo bǎn,boss
00:11:04:500,管理層給到你壓力,guǎn lǐ céng gěi dào nǐ yā lì,Management puts pressure on you
00:11:06:500,給到你一件很難去完成的事情的時候,gěi dào nǐ yī jiàn hěn nán qù wán chéng de shì qíng de shí hòu,When you are given something difficult to accomplish
00:11:09:365,你覺得壓力,nǐ jué dé yā lì,you feel pressure
00:11:10:399,你就應該感到榮幸,nǐ jiù yīng gāi gǎn dào róng xìng,you should feel honored
00:11:11:732,因為他們看重你,yīn wèi tā men kàn zhòng nǐ,Because they value you
00:11:13:966,這個對我來講啦,zhè gè duì wǒ lái jiǎng la,This is for me
00:11:15:100,作為一個管理層,zuò wèi yī gè guǎn lǐ céng,as a management
00:11:15:966,應該要怎麼樣去跟你的下屬,yīng gāi yào zěn me yàng qù gēn nǐ de xià shǔ,How should you talk to your subordinates?
00:11:19:133,好好分擔壓力,hǎo hǎo fēn dān yā lì,Share the pressure well
00:11:20:265,才是一個對的方式吧,cái shì yī gè duì de fāng shì ba,"That's the right way, right?"
00:11:22:200,我不懂啊,wǒ bù dǒng a,I don't understand
00:11:22:899,OK我只是分享一下我個人的意見啊,OK wǒ zhǐ shì fēn xiǎng yī xià wǒ gè rén de yì jiàn a,"OK, I'm just sharing my personal opinion."
00:11:25:066,我沒有講前者是錯的,wǒ méi yǒu jiǎng qián zhě shì cuò de,I didn't say the former was wrong.
00:11:27:666,純分享而已,chún fēn xiǎng ér yǐ,Just sharing
00:11:28:566,純分享,chún fēn xiǎng,Pure sharing
00:11:29:966,而且在這間公司我也會看到,ér qiě zài zhè jiān gōng sī wǒ yě huì kàn dào,And I will also see it in this company
00:11:32:365,像之前,xiàng zhī qián,like before
00:11:33:533,我有在我的新加坡就職系列裡面分享的,wǒ yǒu zài wǒ de xīn jiā pō jiù zhí xì liè lǐ miàn fēn xiǎng de,I have shared this in my Singapore job series
00:11:36:633,在開會的時候,zài kāi huì de shí hòu,during a meeting
00:11:37:932,管理階層裡面會傳出很大很大的聲音,guǎn lǐ jiē céng lǐ miàn huì chuán chū hěn dà hěn dà de shēng yīn,"There will be loud, loud voices coming from the management"
00:11:40:666,就營造了一個比較負面的工作環境,jiù yíng zào le yī gè bǐ jiào fù miàn de gōng zuò huán jìng,This creates a relatively negative working environment.
00:11:44:299,這個也是我覺得,zhè gè yě shì wǒ jué dé,I think this too
00:11:45:899,嗯,ń,Um
00:11:47:166,會讓我再多一次去考慮,huì ràng wǒ zài duō yī cì qù kǎo lǜ,It will make me think about it one more time
00:11:50:100,要不要繼續下去的一個很主要的點,yào bù yào jì xù xià qù de yī gè hěn zhǔ yào de diǎn,It is a very important point whether to continue or not.
00:11:52:732,因為對我來講,yīn wèi duì wǒ lái jiǎng,Because for me
00:11:53:600,我還是覺得,wǒ hái shì jué dé,I still think
00:11:54:500,話是可以好好講的,huà shì kě yǐ hǎo hǎo jiǎng de,You can speak well
00:11:56:432,不管你是上面還是你是下面,bù guǎn nǐ shì shàng miàn hái shì nǐ shì xià miàn,No matter you are above or you are below
00:11:58:466,好好跟你講話,hǎo hǎo gēn nǐ jiǎng huà,Talk to you properly
00:11:59:500,可能我不理解,kě néng wǒ bù lǐ jiě,Maybe I don't understand
00:12:00:365,可能他溝通了很多次,kě néng tā gōu tōng le hěn duō cì,Maybe he communicated many times
00:12:01:533,但是還是不明白,dàn shì hái shì bù míng bái,But still don't understand
00:12:02:466,所以才會採取最偏激的方式,suǒ yǐ cái huì cǎi qǔ zuì piān jī de fāng shì,That’s why we take the most extreme approach
00:12:05:299,我不理解啊,wǒ bù lǐ jiě a,I don't understand
00:12:06:000,但是這個給到我的那個感覺,dàn shì zhè gè gěi dào wǒ de nà gè gǎn jué,But the feeling this gave me
00:12:08:299,就是這樣子,jiù shì zhè yàng zi,That's it
00:12:08:966,我不會想要在這樣子的工作環境裡面,wǒ bù huì xiǎng yào zài zhè yàng zi de gōng zuò huán jìng lǐ miàn,I don't want to be in a working environment like this
00:12:12:865,是的,shì de,Yes
00:12:13:466,這個也是依據我自己本身之前的經歷啦,zhè gè yě shì yī jù wǒ zì jǐ běn shēn zhī qián de jīng lì la,This is also based on my own previous experience.
00:12:16:000,我覺得這樣子的工作環境,wǒ jué dé zhè yàng zi de gōng zuò huán jìng,I think this kind of working environment
00:12:17:966,不是太理想,bú shì tài lǐ xiǎng,Not ideal
00:12:19:100,啊,a,ah
00:12:19:466,就是綜合了這些一切的一切,jiù shì zōng hé le zhè xiē yī qiè de yī qiè,It is a combination of all these
00:12:21:399,我才決定說,wǒ cái jué dìng shuō,I just decided to say
00:12:22:533,是不是我到了這個人生階段哦,shì bú shì wǒ dào le zhè gè rén shēng jiē duàn ó,Have I reached this stage of my life?
00:12:24:899,打工已經不再適合我了嘞,dǎ gōng yǐ jīng bù zài shì hé wǒ le lei,Working part-time is no longer suitable for me.
00:12:26:865,我是不是要Fully Concentrate,wǒ shì bú shì yào Fully Concentrate,Do I want Fully Concentrate?
00:12:28:332,在Property這一塊,zài Property zhè yī kuài,In the Property area
00:12:29:600,就是Self-Employed這一塊嘞,jiù shì Self-Employed zhè yī kuài lei,It’s the Self-Employed part.
00:12:31:732,That's why我才會在這裡,That's why wǒ cái huì zài zhè lǐ,That's why I'm here
00:12:33:799,那這個時候哦,nà zhè gè shí hòu ó,Then this time
00:12:35:000,就應該會有一些老觀眾會講啦,jiù yīng gāi huì yǒu yī xiē lǎo guān zhòng huì jiǎng la,There should be some old viewers who can talk about it.
00:12:37:399,哎，傑克,āi ， jié kè,"Hey, Jack"
00:12:38:066,Since你都要回到職場上了嘛,Since nǐ dōu yào huí dào zhí chǎng shàng le ma,Since you are going back to work?
00:12:40:200,為什麼你不要直接回新加坡嘞,wèi shén me nǐ bú yào zhí jiē huí xīn jiā pō lei,Why don't you just go back to Singapore?
00:12:42:166,你知道現在新加坡對馬來西亞的匯率是多少嗎,nǐ zhī dào xiàn zài xīn jiā pō duì mǎ lái xī yà de huì lǜ shì duō shǎo ma,Do you know what the exchange rate between Singapore and Malaysia is now?
00:12:44:966,3.5哎,3.5 āi,3.5 hey
00:12:46:100,遲一點就變4了咯,chí yī diǎn jiù biàn 4 le gē,It will become 4 later.
00:12:47:500,然後你又是PR,rán hòu nǐ yòu shì PR,Then you PR again
00:12:48:899,這麼好的機會為什麼不要回去,zhè me hǎo de jī huì wèi shén me bú yào huí qù,Why don't you go back with such a good opportunity?
00:12:50:700,那其實我想講的是哦,nà qí shí wǒ xiǎng jiǎng de shì ó,"Well, actually what I want to talk about is"
00:12:52:232,在馬來西亞工作啦,zài mǎ lái xī yà gōng zuò la,Working in Malaysia
00:12:53:932,它算是一個,tā suàn shì yī gè,it counts as a
00:12:55:066,我想在我人生當中完成的一個清單,wǒ xiǎng zài wǒ rén shēng dāng zhōng wán chéng de yī gè qīng dān,A list of things I want to accomplish in my life
00:12:58:566,這樣子講可能有一些人會覺得很可笑,zhè yàng zi jiǎng kě néng yǒu yī xiē rén huì jué dé hěn kě xiào,Some people may find it ridiculous to put it this way.
00:13:00:566,但是身為一個馬來西亞人,dàn shì shēn wèi yī gè mǎ lái xī yà rén,But as a Malaysian
00:13:01:899,沒有在馬來西亞工作過,méi yǒu zài mǎ lái xī yà gōng zuò guò,Never worked in Malaysia
00:13:03:399,我就覺得對我來講是有一點講不過去啦,wǒ jiù jué dé duì wǒ lái jiǎng shì yǒu yī diǎn jiǎng bù guò qù la,I feel like it’s a bit unreasonable for me.
00:13:06:232,我自己而已呀,wǒ zì jǐ ér yǐ ya,It's just me
00:13:06:966,我自己OK,wǒ zì jǐ OK,I'm OK
00:13:07:832,現在的種種狀況加起來,xiàn zài de zhǒng zhǒng zhuàng kuàng jiā qǐ lái,All the current situations add up
00:13:09:932,可能就是一個很好的時機,kě néng jiù shì yī gè hěn hǎo de shí jī,Maybe it's a good time
00:13:11:765,讓我去試試看,ràng wǒ qù shì shì kàn,let me try it
00:13:12:932,我覺得是一個機會啦,wǒ jué dé shì yī gè jī huì la,I think it's an opportunity
00:13:14:166,我把它看成是機會,wǒ bǎ tā kàn chéng shì jī huì,I see it as an opportunity
00:13:15:365,所以今年我還是決定會在這邊試一試,suǒ yǐ jīn nián wǒ hái shì jué dìng huì zài zhè biān shì yī shì,So this year I decided to give it a try here
00:13:19:265,至於回不回新加坡,zhì yú huí bù huí xīn jiā pō,As for whether to return to Singapore or not?
00:13:20:765,在新加坡工作那段時期,zài xīn jiā pō gōng zuò nà duàn shí qī,When I was working in Singapore
00:13:22:865,身為一個馬來西亞人,shēn wèi yī gè mǎ lái xī yà rén,as a malaysian
00:13:24:399,雖然手持著新加坡PR,suī rán shǒu chí zhù xīn jiā pō PR,Although holding Singapore PR
00:13:26:966,所遇到的種種狀況,suǒ yù dào de zhǒng zhǒng zhuàng kuàng,Various situations encountered
00:13:29:166,身為一個自顧人士的時候,shēn wèi yī gè zì gù rén shì de shí hòu,As a self-care person
00:13:31:100,身為一個Financial advisor,shēn wèi yī gè Financial advisor,As a financial advisor
00:13:32:399,在面對新加坡顧客,zài miàn duì xīn jiā pō gù kè,Facing Singaporean customers
00:13:34:033,或馬來西亞顧客的時候,huò mǎ lái xī yà gù kè de shí hòu,or Malaysian customers
00:13:35:399,這些經驗我都已經有過了,zhè xiē jīng yàn wǒ dōu yǐ jīng yǒu guò le,I have already had these experiences
00:13:37:332,就唯獨在馬來西亞,jiù wéi dú zài mǎ lái xī yà,Only in Malaysia
00:13:38:765,身為一個馬來西亞公民,shēn wèi yī gè mǎ lái xī yà gōng mín,As a Malaysian citizen
00:13:40:133,在馬來西亞工作這件事情哦,zài mǎ lái xī yà gōng zuò zhè jiàn shì qíng ó,What about working in Malaysia?
00:13:42:332,在我人生當中,zài wǒ rén shēng dāng zhōng,in my life
00:13:43:533,是還沒有正式完成超過一年的啦,shì hái méi yǒu zhèng shì wán chéng chāo guò yī nián de la,It hasn’t been officially completed for more than a year.
00:13:46:899,所以有了這個機會,suǒ yǐ yǒu le zhè gè jī huì,So with this opportunity
00:13:48:666,我為什麼不去試一試呢,wǒ wèi shén me bù qù shì yī shì ne,Why don't I give it a try?
00:13:50:865,對不對,duì bù duì,right?
00:13:51:399,同意嗎,tóng yì ma,Do you agree?
00:13:52:265,同意的觀眾可以在影片底下打“1”,tóng yì de guān zhòng kě yǐ zài yǐng piàn dǐ xià dǎ “1”,"Viewers who agree can put ""1"" under the video"
00:13:55:533,可是如果不同意的話就打一個“2”給我知道,kě shì rú guǒ bù tóng yì de huà jiù dǎ yī gè “2” gěi wǒ zhī dào,"But if you don't agree, just give me a ""2"""
00:13:57:899,再順便加上去,zài shùn biàn jiā shàng qù,Add it by the way
00:13:59:200,為什麼你不同意我這麼做,wèi shén me nǐ bù tóng yì wǒ zhè me zuò,why don't you agree with me doing this
00:14:00:666,我們來探討一下,wǒ men lái tàn tǎo yī xià,let's discuss it
00:14:01:700,要回去的話,yào huí qù de huà,If you want to go back
00:14:02:566,其實只要把工錢調低一點,qí shí zhǐ yào bǎ gōng qián diào dī yī diǎn,"In fact, just lower the wages a little bit"
00:14:04:799,Send個resume回去打工,Send gè resume huí qù dǎ gōng,Send a resume and go back to work
00:14:06:600,生活還是一樣過的,shēng huó hái shì yī yàng guò de,Life is still the same
00:14:08:100,只是可能我有時候,zhǐ shì kě néng wǒ yǒu shí hòu,It's just that maybe I sometimes
00:14:09:332,就自己,jiù zì jǐ,Just yourself
00:14:10:200,就一直想Try不一樣的東西,jiù yì zhí xiǎng Try bù yī yàng de dōng xī,I always wanted to try something different.
00:14:12:066,想跑別人不一樣的路,xiǎng pǎo bié rén bù yī yàng de lù,Want to follow a different path than others
00:14:14:000,自己拿苦來受,zì jǐ ná kǔ lái shòu,Take the pain yourself
00:14:15:200,但我覺得這個就是人生,dàn wǒ jué dé zhè gè jiù shì rén shēng,But I think this is life
00:14:16:666,我不想就一成不變,wǒ bù xiǎng jiù yì chéng bù biàn,I don't want to stay the same
00:14:18:865,有沒有,yǒu méi yǒu,Is there any
00:14:19:700,每個人要的生活方式都不一樣啦,měi gè rén yào de shēng huó fāng shì dōu bù yī yàng la,Everyone wants a different lifestyle
00:14:22:000,所以既然我在這個節骨眼上,suǒ yǐ jì rán wǒ zài zhè gè jié gǔ yǎn shàng,So since I'm at this juncture
00:14:24:899,有了這樣子一個機會,yǒu le zhè yàng zi yī gè jī huì,With such an opportunity
00:14:26:700,我就去試試吧,wǒ jiù qù shì shì ba,I'll just go and try it
